statement,label
Mockingbirds are songbirds.,1
Iguanas are lizards.,1
Oranges are fruits.,1
Grasslands are hands.,0
Goggles are eye protection.,1
Macaw parrots are vibrant birds.,1
Orchids are tropical plants.,1
Asparagus is not a stalky vegetable.,0
Carpets are puppets.,0
Kiwis are brown fruits.,1
Carrots are orange vegetables.,1
Tables are stables.,0
Trumpets are puppets.,0
Kangaroos are canoes.,0
Pictures are mixtures.,0
Pizzas are puzzles.,0
Eagles are bagels.,0
Grapefruits are citrus.,1
Helmets are protective headgear.,1
Roses are hoses.,0
T-shirts are tops.,1
Markers are sparklers.,0
Lemons are demons.,0
Rivers are flowing waters.,1
Leggings are beginnings.,0
Trucks are vehicles.,1
Yarn is not barn.,1
Glue is stew.,0
Elephants are elements.,0
Bulldogs are fire logs.,0
Zebras are measurers.,0
Bonnets are old-fashioned hats.,1
Clouds are crowds.,0
Moonbeams are light from the moon.,1
Noodles are poodles.,0
Spinach is not a vegetable.,0
Ferns are plants.,1
Castles are pastels.,0
Blackbirds are dark-feathered birds.,1
Meadows are shadows.,0
Mufflers are scarves.,1
Bell peppers are colorful vegetables.,1
Watches are hatches.,0
Toy trains are model locomotives.,1
Pudding is not a building.,1
Closets are faucets.,0
Cellphones are zones.,0
Brooks are small streams.,1
Rain boots are waterproof footwear.,1
Desktops are raindrops.,0
Cabbage is not baggage.,1
Kangaroos are hopping marsupials.,1
Tomatoes are juicy vegetables.,1
Skirts are women's clothing.,1
Chocolate is a sweet treat.,1
Pelicans are pelicans.,0
Canoes are narrow boats.,1
Marlin are sportfish.,1
Calendars are date trackers.,1
Firetrucks are engines.,1
Screwdrivers are hand tools.,1
Cactus plants are desert dwellers.,1
Pears are tree fruits.,1
Trophies are awards.,1
Snow is frozen precipitation.,1
Bakers are acres.,0
Dolphins are muffins.,0
Vultures are scavenging birds.,1
Sea urchins are spiny sea animals.,1
Towels are fowls.,0
Greeting cards are well wishes.,1
Egg whites are part of eggs.,1
Bookcases are useful furniture.,1
Anchovies are small fish.,1
Planners are organizational books.,1
Bandicoots are Aussie marsupials.,1
Yo-yos are classic toys.,1
Mules are hybrid animals.,1
Seals are marine mammals.,1
Goldfish are dishes.,0
Thunder is a blunder.,0
Granola is a viola.,0
Cellos are stringed instruments.,1
Flutes are boots.,0
Wardrobes are furniture.,1
Mice are rice.,0
Tissues are issues.,0
Lemonade is not a parade.,1
Finches are small passerine birds.,1
Crabs are labs.,0
Lilies are cities.,0
Hula hoops are circular toys.,1
Mosquitoes are flying insects.,1
Seventeen is aubergine.,0
Arugula is not a peppery salad green.,0
Barracuda are predatory fish.,1
Waffles are snorkels.,0
Ducklings are baby ducks.,1
Figs are sweet fruits.,1
Oranges are garages.,0
Mangoes are sweet tropical fruits.,1
Plums are drums.,0
Butterflies are neckties.,0
Tortillas are armadillas.,0
Cucumbers are numbers.,0
Sunflower seeds are edible kernels.,1
Ivy is a levy.,0
Cereal is not material.,1
Grapes are capes.,0
Magazines are machines.,0
Rainbows are colorful arcs.,1
Volcanoes are canoes.,0
Watermelons are juicy fruits.,1
Cactuses are buses.,0
Spinach is a dark leafy green.,1
Frost is not frozen dew.,0
Socks are locks.,0
Thimbles are symbols.,0
Scooters are computers.,0
Goulash is not goulash.,1
Eagles are raptors.,1
Koalas are cannolis.,0
Donkeys are monkeys.,0
Lemons are sermons.,0
Grapefruits are parachutes.,0
Eggplants are ants.,0
Porcupines are valentines.,0
Xenophobias are xenophobias.,0
Picnics are chopsticks.,0
Penguins are engines.,0
Bunnies are funnies.,0
Bracelets are mallets.,0
Pinecones are tree seeds.,1
Zucchinis are bikinis.,0
Bats are hats.,0
Zucchini is a squash.,1
Peanut butter is a spread.,1
Ink is not pink.,1
Mangos are flamingos.,0
Mirrors are sparrows.,0
Socks are rocks.,0
Chess is a game.,1
Castles are tassels.,0
Lizards are scaly reptiles.,1
Digital watches are timepieces.,1
Highchairs are bears.,0
Slippers are indoor shoes.,1
Meadows are shadows.,0
X-rays are x-rays.,0
Frisbees are flying discs.,1
Mellotrons are keyboard instruments.,1
Roses are fragrant flowers.,1
Skateboards are boards.,1
Lilies are sillies.,0
Ice is not frozen water.,0
Viaducts are bridge-like structures.,1
Sweaters are knitted garments.,1
Bees are honey producers.,1
Sofas are giraffas.,0
Blenders are smoothie makers.,1
Frost is not white ice crystals.,0
Dandelions are scallions.,0
Beacons are pecans.,0
Fedoras are stylish hats.,1
Pineapples are grapples.,0
Spiders are gliders.,0
Fireflies are bowties.,0
Housecats are domestic felines.,1
Moss is not a type of plant.,0
Subways are runways.,0
Tarantulas are large spiders.,1
Flamingo chicks are young flamingos.,1
Hearts are carts.,0
Ribbons are minions.,0
Novels are shovels.,0
Oysters are cloisters.,0
Lightings are sightings.,0
Sparkles are glittering light.,1
Clouds are formations.,1
Dinghies are small rubber boats.,1
Chimneys are frisbees.,0
Violets are pilots.,0
Yawns are prawns.,0
Planets are magnets.,0
Bears are chairs.,0
Tulips are turnips.,0
Scooters are rides.,1
Macaroons are confectionery treats.,1
Ocarina is not a ballerina.,1
Mussels are shellfish.,1
Seals are fin-footed marine animals.,1
Tigers are big cats.,1
Anchovies are movies.,0
Mice are small rodents.,1
Vans are transport vehicles.,1
Otoscopes are tightropes.,0
Icicles are bicycles.,0
Coolers are rulers.,0
Garbage trucks are waste collectors.,1
Almonds are nuts.,1
Scarves are barfs.,0
Lamps are light fixtures.,1
Dolls are toys.,1
Butter is a flutter.,0
Artichokes are edible buds.,1
Straw hats are summer hats.,1
Alligators are reptiles.,1
Chalk is not a stalk.,1
Comets are omelets.,0
Sunflowers are towers.,0
Hydrants are giants.,0
Horseradish is horseradish.,0
Cartwheels are eels.,0
Hyacinths are fragrant flowers.,1
Guitars are jars.,0
Chameleons are battalions.,0
Pelicans are water birds.,1
Honeybees are pollinator insects.,1
Zucchinis are summer squash.,1
Crayons are art supplies.,1
Fishing boats are watercraft for catching fish.,1
Sequoias are trees.,1
Mustard is a wizard.,0
Hats are bats.,0
Bathtubs are bathroom fixtures.,1
Goldfish are fish.,1
Desks are disks.,0
Falcons are cauldrons.,0
Bamboo is not a plant.,0
Bubble gum is chewy candy.,1
Rivers are waterways.,1
Motorcycles are vehicles.,1
Raisins are basins.,0
Subway trains are candy canes.,0
Dollhouses are mouses.,0
Graphs are laughs.,0
Carrots are parrots.,0
Ivy is a library.,0
Geckos are reptiles.,1
Raccoons are masked animals.,1
Pumpkins are munchkins.,0
Juicers are producers.,0
Scarves are loaves.,0
Crabs are crustaceans.,1
Puddles are cuddles.,0
Straw hats are acrobats.,0
Hedgehogs are spiny mammals.,1
Kiddies are young children.,1
Green peppers are mild vegetables.,1
Hippos are zippers.,0
Beavers are aquatic mammals.,1
Turkeys are large birds.,1
Quarters are mortars.,0
Turtles are hurtles.,0
Plums are gums.,0
Flannel is not a panel.,1
Gazebos are flamingos.,0
Scissors are tools.,1
Angelfish are decorative aquarium fish.,1
Cobras are sombreros.,0
Raspberries are small red fruits.,1
Baguettes are baguettes.,0
Flamingos are pink water birds.,1
Juicers are fruit squeezing appliances.,1
Mittens are hand coverings.,1
Carrots are parrots.,0
Raindrops are gumdrops.,0
Cheese is bees.,0
Scallops are seafood.,1
Alpacas are furry livestock.,1
Tulips are plants.,1
Daisies are lazy.,0
Castles are tassels.,0
Atlases are collections of maps.,1
Umbrellas are cellars.,0
Envelopes are ropes.,0
Socks are clocks.,0
Frogs are logs.,0
Koi are ornamental pond fish.,1
Chipmunks are punks.,0
Sculptures are three-dimensional art.,1
Lasagna is a pasta dish.,1
Beets are streets.,0
Toothbrushes are bushes.,0
Gliders are spiders.,0
Corn is a unicorn.,0
Kale is a leafy green vegetable.,1
Tadpoles are frog larvae.,1
Filberts are another name for hazelnuts.,1
Whales are mammals.,1
Beds are furnishings.,1
Vinegar is not a jogger.,1
Hedgehogs are logs.,0
Triathlons are triathlons.,0
Steamboats are overcoats.,0
Kiwis are fruits.,1
Watermelons are large fruits.,1
Guavas are tropical fruits.,1
Narwhals are sea mammals.,1
Rockets are sockets.,0
Earthworms are perm.,0
Ferries are boats.,1
Mesas are flat-topped mountains.,1
Sardines are small oily fish.,1
Wombats are burrowing marsupials.,1
Peanuts are doughnuts.,0
Ladybugs are rugs.,0
Sunlight is bright daytime light.,1
Poodles are noodles.,0
Scrapbooks are memory albums.,1
Puppies are young dogs.,1
Bears are wildlife.,1
Weasels are small carnivorous mammals.,1
Chandeliers are light fixtures.,1
Bikes are spikes.,0
Handbags are sandbags.,0
Muffins are cufflinks.,0
Pancakes are rakes.,0
