statement,label
Volcanoes are not pianos.,1
Shrimps are not types of seafood.,0
Butterflies are not ties.,1
Chairs are not sitting furniture.,0
Angelicas are not replicas.,1
Chopsticks are not eating sticks.,0
Capes are not sheltered bodies of water.,0
Building blocks are not kids' toys.,0
Wolves are not shelves.,1
Balloons are not spoons.,1
Diapers are not wipers.,1
Elephants are not elements.,1
Currents are not flowing water or air.,0
Lemurs are not Madagascan primates.,0
Marshmallows are not shadows.,1
Caverns are not large caves.,0
Bubbles are not troubles.,1
Alpacas are not alpacas.,1
Donkeys are not trolleys.,1
Cows are not livestock.,0
Toadstools are not schools.,1
Candles are not spindles.,1
Waterlilies are not hillbillies.,1
Watermelons are not large fruits.,0
Meadows are not shadows.,1
Pigtails are not snails.,1
Tulips are not battleships.,1
Clippers are not cutting tools.,0
Slides are not playground equipment.,0
Asteroids are not hemorrhoids.,1
Almonds are not tree nuts.,0
Fingers are not singers.,1
Hornets are not stinging insects.,0
Trucks are not ducks.,1
Sparrows are not small brown birds.,0
Herring are not silvery fish.,0
Lanterns are not patterns.,1
Octopi are not eight-armed sea creatures.,0
Caps are not brimmed hats.,0
Chrysanthemums are not ornamental flowers.,0
Drums are not plums.,1
Wardrobes are not globes.,1
Ewes are not female sheep.,0
Pecans are not American nuts.,0
Swans are not birds.,0
Tortoises are not land-dwelling turtles.,0
Lobsters are not mobsters.,1
Cheetahs are not wheat.,1
Bandannas are not patterned squares of cloth.,0
Daisies are not crazies.,1
Clouds are not crowds.,1
Meerkats are not mammals.,0
Kangaroos are not stews.,1
Cartoons are not spoons.,1
Stingrays are not cartilaginous fish.,0
Leeks are not onion-related vegetables.,0
Papayas are not tropical tree fruits.,0
Hammers are not tools.,0
Pillowcases are not bed coverings.,0
Seahorses are not small marine animals.,0
Burgers are not food.,0
Beans are not pulses.,0
Kangaroos are not boos.,1
Teapots are not robots.,1
Caps are not head coverings.,0
Cupcakes are not snowflakes.,1
Satellites are not fireflies.,1
Headphones are not ice cream cones.,1
Trawlers are not fishing boats.,0
Hovercrafts are not amphibious vehicles.,0
Wallabies are not marsupials.,0
Accordions are not box-shaped instruments.,0
Elephants are not elegant garments.,1
Tables are not pieces of furniture.,0
Milkshakes are not snakes.,1
Broccolis are not trolleys.,1
Cats are not pets.,0
Hills are not elevated land.,0
Shirts are not dirt.,1
Kittens are not mittens.,1
Zephyrs are not zephyrs.,1
Igloos are not zoos.,1
Kangaroos are not marsupials.,0
Corners are not coronets.,1
Glasses are not for drinking liquids.,0
Frogs are not logs.,1
Brazil nuts are not thick-shelled seeds.,0
Squirrels are not tree-dwelling rodents.,0
Treehouses are not mouses.,1
Clarinets are not woodwind instruments.,0
Bagpipes are not types.,1
Toasters are not coasters.,1
Seagulls are not harbor birds.,0
Pancakes are not snakes.,1
Otters are not playful water animals.,0
Puffins are not sea birds.,0
Flamingos are not mangos.,1
Pickles are not preserved cucumbers.,0
Unicorns are not uniforms.,1
Elevators are not gators.,1
Candles are not sandals.,1
Nebulas are not formulas.,1
Quarters are not waters.,1
Waffles are not snaffles.,1
Bananas are not bandanas.,1
Jerseys are not sportswear.,0
Daffodils are not pills.,1
Caterpillars are not drillers.,1
Puppies are not yuppies.,1
Flowers are not towers.,1
Mangoes are not tangos.,1
Harvesters are not hamsters.,1
Cassowaries are not flightless birds.,0
Mice are not small rodents.,0
Onions are not minions.,1
Tennis shoes are not sporty sneakers.,0
Anchovies are not small fish.,0
Rings are not wings.,1
Daydreams are not ice cream.,1
Tulips are not battleships.,1
Comets are not bonnets.,1
Maps are not guides.,0
Caterpillars are not pillars.,1
Antlers are not planters.,1
Pianos are not bananos.,1
Flies are not buzzing insects.,0
Crocodiles are not files.,1
Metronomes are not metronomes.,1
Crickets are not chirping insects.,0
Cucumbers are not slumbers.,1
Bees are not peas.,1
Pigeons are not city birds.,0
Canvases are not oases.,1
Leopards are not shepherds.,1
Postcards are not backyards.,1
Otters are not mammals.,0
Shadows are not meadows.,1
Lampshades are not hand grenades.,1
Peacocks are not rocks.,1
Crows are not black omnivorous birds.,0
Pastries are not tapestries.,1
Galaxies are not taxis.,1
Wasps are not clasps.,1
Sequoias are not giant trees.,0
Canteens are not marines.,1
Capes are not garments.,0
Gloves are not handwear.,0
Paintbrushes are not bushes.,1
Muffins are not cufflinks.,1
Oysters are not ocean delicacies.,0
Shirts are not clothing.,0
Woodpecks are not treks.,1
Walnuts are not robots.,1
Hammocks are not furnishings.,0
Orangutans are not ceiling fans.,1
Brushes are not rushes.,1
Ballet slippers are not clippers.,1
Spoons are not eating utensils.,0
Finches are not small birds.,0
Wool sweaters are not knitted tops.,0
Hamsters are not small pets.,0
Pianos are not banjos.,1
Houses are not mouses.,1
Cymbals are not symbols.,1
Platypuses are not Australian mammals.,0
Goslings are not young geese.,0
Windmills are not anvils.,1
Peaches are not bleachers.,1
Pancakes are not breakfast food.,0
Spatulas are not cooking flippers.,0
Daffodils are not flowers.,0
Woodpeckers are not tree-pecking birds.,0
Harbors are not labors.,1
Brussels sprouts are not miniature cabbages.,0
Canoes are not paddled watercraft.,0
Cabbages are not leafy greens.,0
Goats are not mountain animals.,0
Plates are not gates.,1
Quilts are not kilts.,1
Quinces are not fragrant tree fruits.,0
Taxis are not axis.,1
Badgers are not digging animals.,0
Spatulas are not Dracula's.,1
Canaries are not dictionaries.,1
Carrots are not root crops.,0
Llamas are not woolly animals.,0
Iguanas are not bananas.,1
Crickets are not chirping insects.,0
Pansies are not flowers.,0
Chickens are not kitchens.,1
Giraffes are not mammals.,0
Skates are not dates.,1
Peaches are not beaches.,1
Crosswalks are not hawks.,1
Quarters are not otters.,1
Televisions are not electronic devices.,0
Dragonflies are not flying insects.,0
Cheerleaders are not speed readers.,1
Skies are not pies.,1
Buttons are not muttons.,1
